"","location_name","country_code","sex_name","age_id","age_name","cause_id","cause_name","rei_name","year","val","upper","lower"
"1","China","CHN","Female",4,0,294,"All causes","Particulate matter pollution",2019,796.5713184,1071.586869,571.2252934
"2","China","CHN","Female",5,1,294,"All causes","Particulate matter pollution",2019,442.2321752,768.4630668,238.7609518
"3","China","CHN","Female",6,5,294,"All causes","Particulate matter pollution",2019,409.0283102,700.0558665,215.1555733
"4","China","CHN","Female",7,10,294,"All causes","Particulate matter pollution",2019,334.1195692,585.4593884,175.6763163
"5","China","CHN","Female",8,15,294,"All causes","Particulate matter pollution",2019,305.9693009,519.3952335,165.8963338
"6","China","CHN","Female",9,20,294,"All causes","Particulate matter pollution",2019,368.5279478,607.9976759,204.3522293
"7","China","CHN","Female",10,25,294,"All causes","Particulate matter pollution",2019,50279.05979,66923.20078,36381.63956
"8","China","CHN","Female",11,30,294,"All causes","Particulate matter pollution",2019,77522.36587,101286.9379,56621.19084
"9","China","CHN","Female",12,35,294,"All causes","Particulate matter pollution",2019,77988.45149,103757.4574,55961.2642
"10","China","CHN","Female",13,40,294,"All causes","Particulate matter pollution",2019,106403.1928,139511.6889,76369.82435
"11","China","CHN","Female",14,45,294,"All causes","Particulate matter pollution",2019,186082.8909,241768.5386,135421.9357
"12","China","CHN","Female",15,50,294,"All causes","Particulate matter pollution",2019,292207.5095,375324.0031,213834.5971
"13","China","CHN","Female",16,55,294,"All causes","Particulate matter pollution",2019,328762.7093,425202.5246,239424.0953
"14","China","CHN","Female",17,60,294,"All causes","Particulate matter pollution",2019,390868.2352,505879.1514,290726.0757
"15","China","CHN","Female",18,65,294,"All causes","Particulate matter pollution",2019,518635.0476,658041.3437,387098.1053
"16","China","CHN","Female",19,70,294,"All causes","Particulate matter pollution",2019,479187.084,605663.5367,362891.9926
"17","China","CHN","Female",20,75,294,"All causes","Particulate matter pollution",2019,379599.4219,475266.1559,292556.126
"18","China","CHN","Female",30,80,294,"All causes","Particulate matter pollution",2019,290257.5082,361247.8431,225401.5201
"19","China","CHN","Female",31,85,294,"All causes","Particulate matter pollution",2019,156418.003,194143.3128,121312.3849
"20","China","CHN","Female",32,90,294,"All causes","Particulate matter pollution",2019,52094.74859,64407.52106,40867.6094
"21","China","CHN","Female",235,95,294,"All causes","Particulate matter pollution",2019,11258.37509,14122.95354,8781.740689
